x,y,species median
703.0,703.0,0.14693718
704.0,704.0,0.27814904
705.0,705.0,0.36537617
706.0,706.0,0.03318948
707.0,707.0,0.009550164
708.0,708.0,0.00493143
709.0,709.0,0.048918646
710.0,710.0,0.40188363
711.0,711.0,0.020623814
712.0,712.0,0.04831194
713.0,713.0,0.08012754
714.0,714.0,0.70306486
715.0,715.0,0.18535416
716.0,716.0,0.34134114
717.0,717.0,0.010786294
718.0,718.0,0.09478555
719.0,719.0,0.011075061
720.0,720.0,0.10939129
721.0,721.0,0.1987021
722.0,722.0,0.46244815
723.0,723.0,0.447345
724.0,724.0,0.0075621433
725.0,725.0,0.2915638
726.0,726.0,0.5481358
727.0,727.0,0.59352416
728.0,728.0,0.6048594
729.0,729.0,0.26179826
730.0,730.0,0.41040832
731.0,731.0,0.0132411225
732.0,732.0,0.6172768
733.0,733.0,0.091149464
734.0,734.0,0.43271765
735.0,735.0,0.63057035
736.0,736.0,0.40485707
737.0,737.0,0.4730273
738.0,738.0,0.09648311
739.0,739.0,0.4726618
740.0,740.0,0.07680115
741.0,741.0,0.005420227
742.0,742.0,0.46363786
743.0,743.0,0.38821042
744.0,744.0,0.48568657
745.0,745.0,0.16074261
746.0,746.0,0.21913438
747.0,747.0,0.46795964
748.0,748.0,0.08409265
749.0,749.0,0.0034578096
750.0,750.0,0.08046073
751.0,751.0,0.53770137
752.0,752.0,0.45539734
753.0,753.0,0.011518735
754.0,754.0,0.007587891
755.0,755.0,0.50457186
756.0,756.0,0.006856631
757.0,757.0,0.39486852
758.0,758.0,0.52948093
759.0,759.0,0.020858368
760.0,760.0,0.060722306
761.0,761.0,0.1845955
762.0,762.0,0.5933959
763.0,763.0,0.116746604
764.0,764.0,0.20727904
765.0,765.0,0.22963473
766.0,766.0,0.45684388
767.0,767.0,0.09627722
768.0,768.0,0.3640237
769.0,769.0,0.6096761
770.0,770.0,0.101225175
771.0,771.0,0.3062619
772.0,772.0,0.4326665
773.0,773.0,0.28772095
774.0,774.0,0.4731004
775.0,775.0,0.16089067
776.0,776.0,0.09094157
777.0,777.0,0.4907397
778.0,778.0,0.55913377
779.0,779.0,0.030021338
780.0,780.0,0.2271952
781.0,781.0,0.014708702
782.0,782.0,0.63999915
783.0,783.0,0.5374805
784.0,784.0,0.58157
785.0,785.0,0.068502724
786.0,786.0,0.6386174
787.0,787.0,0.44951928
788.0,788.0,0.27293167
789.0,789.0,0.14072607
790.0,790.0,0.11741752
791.0,791.0,0.61512727
792.0,792.0,0.20725583
793.0,793.0,0.45251063
794.0,794.0,0.093603104
795.0,795.0,0.006936754
796.0,796.0,0.56524116
797.0,797.0,0.0017575393
798.0,798.0,0.430207
799.0,799.0,0.1281247
800.0,800.0,0.005403169
801.0,801.0,0.40707085
802.0,802.0,0.037611235
803.0,803.0,0.34402752
804.0,804.0,0.031015394
805.0,805.0,0.45688745
806.0,806.0,0.4608754
807.0,807.0,0.008081725
808.0,808.0,0.08456797
809.0,809.0,0.22658502
810.0,810.0,0.5196532
811.0,811.0,0.010873589
812.0,812.0,0.24206401
813.0,813.0,0.62111187
814.0,814.0,0.118090145
815.0,815.0,0.53984004
816.0,816.0,0.11340255
817.0,817.0,0.012673007
818.0,818.0,0.4382723
819.0,819.0,0.4003744
820.0,820.0,0.3208306
821.0,821.0,0.17003939
822.0,822.0,0.08380117
823.0,823.0,0.46547413
824.0,824.0,0.36572176
825.0,825.0,0.010094813
826.0,826.0,0.11786835
827.0,827.0,0.504113
828.0,828.0,0.334242
829.0,829.0,0.6910968
830.0,830.0,0.20355052
831.0,831.0,0.14798085
832.0,832.0,0.036601577
833.0,833.0,0.028798347
834.0,834.0,0.567085
835.0,835.0,0.45439315
836.0,836.0,0.47310016
837.0,837.0,0.14501615
838.0,838.0,0.055634893
839.0,839.0,0.41187188
840.0,840.0,0.15768431
841.0,841.0,0.0049330182
842.0,842.0,0.06948494
843.0,843.0,0.39429253
844.0,844.0,0.18793567
845.0,845.0,0.07726488
846.0,846.0,0.0782211
847.0,847.0,0.5259542
848.0,848.0,0.12989354
849.0,849.0,0.08406637
850.0,850.0,0.0982301
851.0,851.0,0.4688834
852.0,852.0,0.17836812
853.0,853.0,0.35804302
854.0,854.0,0.0133824125
855.0,855.0,0.11263482
856.0,856.0,0.454493
857.0,857.0,0.4439124
858.0,858.0,0.040734515
859.0,859.0,0.23778348
860.0,860.0,0.031141188
861.0,861.0,0.5026182
862.0,862.0,0.5534297
863.0,863.0,0.1568143
864.0,864.0,0.5477011
865.0,865.0,0.61207026
866.0,866.0,0.42501986
867.0,867.0,0.592222
868.0,868.0,0.40994528
869.0,869.0,0.0053767012
870.0,870.0,0.3168539
871.0,871.0,0.04472246
872.0,872.0,0.020649765
873.0,873.0,0.49646032
874.0,874.0,0.40936553
875.0,875.0,0.18252385
876.0,876.0,0.41874686
877.0,877.0,0.22910596
878.0,878.0,0.50536686
879.0,879.0,0.23332162
880.0,880.0,0.631155
881.0,881.0,0.005649561
882.0,882.0,0.20008926
883.0,883.0,0.6073745
884.0,884.0,0.6464147
885.0,885.0,0.25123832
