x,y,raw,cumulative,logistic
2644.0,2644.0,9.70097E-5,23.675512017,0.412834053
2645.0,2645.0,1.07928E-4,29.073686816,0.438903912
2646.0,2646.0,4.40245E-7,0.001525389,0.003180608
2647.0,2647.0,8.02122E-7,0.012563821,0.005779931
2648.0,2648.0,4.12433E-7,0.001181539,0.00298028
2649.0,2649.0,1.63601E-4,56.584523883,0.542487386
2650.0,2650.0,1.73342E-5,1.562011263,0.111610874
2651.0,2651.0,1.2453E-4,37.403944052,0.47439165
2652.0,2652.0,5.49282E-5,9.291056603,0.28474498
2653.0,2653.0,1.07464E-4,28.739750356,0.437843273
2654.0,2654.0,1.69416E-5,1.488268607,0.109359303
2655.0,2655.0,1.98054E-6,0.082311298,0.014151225
2656.0,2656.0,6.65803E-7,0.006837674,0.004802358
2657.0,2657.0,4.68744E-5,7.532180925,0.253581597
2658.0,2658.0,1.90551E-5,1.851579531,0.121346564
2659.0,2659.0,1.17193E-5,0.763107078,0.078288313
2660.0,2660.0,3.15042E-5,4.572502611,0.185888281
2661.0,2661.0,1.00746E-5,0.592637274,0.068049076
2662.0,2662.0,4.67862E-5,7.485345853,0.253225122
2663.0,2663.0,1.14232E-4,32.358342669,0.452930456
2664.0,2664.0,2.2133E-5,2.538255201,0.138237951
2665.0,2665.0,9.07866E-5,20.952326793,0.396861121
2666.0,2666.0,3.13993E-5,4.534758641,0.185383816
2667.0,2667.0,1.31619E-4,41.207954443,0.488211682
2668.0,2668.0,1.58872E-5,1.310466866,0.103255758
2669.0,2669.0,2.12496E-4,73.977461677,0.60631527
2670.0,2670.0,5.77488E-5,9.883604828,0.295052271
2671.0,2671.0,7.96113E-5,16.29560239,0.365883834
2672.0,2672.0,2.80988E-5,3.916934192,0.169194673
2673.0,2673.0,7.1791E-5,13.907977092,0.342243125
2674.0,2674.0,2.37229E-4,79.939920103,0.632267019
2675.0,2675.0,7.53423E-5,15.062164081,0.353193359
2676.0,2676.0,1.42926E-5,1.085327698,0.093865204
2677.0,2677.0,8.6885E-5,19.165904617,0.386395797
2678.0,2678.0,1.71365E-5,1.51894066,0.110478486
2679.0,2679.0,2.81143E-5,3.919745627,0.169272369
2680.0,2680.0,1.95616E-6,0.080539518,0.013979437
2681.0,2681.0,1.09774E-6,0.029875249,0.00789328
2682.0,2682.0,2.86799E-6,0.128162687,0.020362989
2683.0,2683.0,8.49154E-5,18.443384746,0.380973661
2684.0,2684.0,1.40032E-4,45.465767358,0.503699469
2685.0,2685.0,6.63526E-7,0.006771094,0.004786014
2686.0,2686.0,8.49332E-6,0.466548797,0.057987374
2687.0,2687.0,1.81179E-4,64.073125454,0.567684661
2688.0,2688.0,6.49583E-5,11.816053803,0.320096678
2689.0,2689.0,8.287E-5,17.595894887,0.375240331
2690.0,2690.0,1.56214E-4,53.018541952,0.530998203
2691.0,2691.0,1.64182E-5,1.389790896,0.106340283
2692.0,2692.0,7.42107E-6,0.412516211,0.051040379
